run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate
33,stigmergy,123,64,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.9,1.0
158,stigmergy,123,64,5.5,,3.5,6.0,stigmergy_decay_threshold_sweep,0.99,3.0
193,stigmergy,123,64,10.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
355,stigmergy,123,128,5.5,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
167,stigmergy,123,64,10.0,,1.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
363,stigmergy,123,128,5.5,,2.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
151,stigmergy,123,64,5.5,,3.5,9.0,stigmergy_decay_threshold_sweep,0.95,2.0
169,stigmergy,123,64,10.0,,1.5,9.0,stigmergy_decay_threshold_sweep,0.9,2.0
156,stigmergy,123,64,5.5,,3.5,6.0,stigmergy_decay_threshold_sweep,0.99,1.0
364,stigmergy,123,128,5.5,,2.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
390,stigmergy,123,128,5.5,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
216,stigmergy,123,64,10.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.9,1.0
229,stigmergy,123,64,10.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,2.0
211,stigmergy,123,64,10.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.99,2.0
227,stigmergy,123,64,10.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.95,3.0
218,stigmergy,123,64,10.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.9,3.0
220,stigmergy,123,64,10.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
280,stigmergy,123,128,3.0,,2.5,3.0,stigmergy_decay_threshold_sweep,0.95,2.0
274,stigmergy,123,128,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,2.0
273,stigmergy,123,128,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
287,stigmergy,123,128,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.95,3.0
245,stigmergy,123,128,3.0,,1.5,3.0,stigmergy_decay_threshold_sweep,0.9,3.0
289,stigmergy,123,128,3.0,,2.5,3.0,stigmergy_decay_threshold_sweep,0.99,2.0
242,stigmergy,123,64,10.0,,3.5,9.0,stigmergy_decay_threshold_sweep,0.99,3.0
221,stigmergy,123,64,10.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
226,stigmergy,123,64,10.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.95,2.0
219,stigmergy,123,64,10.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.9,1.0
210,stigmergy,123,64,10.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.99,1.0
217,stigmergy,123,64,10.0,,3.5,3.0,stigmergy_decay_threshold_sweep,0.9,2.0
228,stigmergy,123,64,10.0,,3.5,6.0,stigmergy_decay_threshold_sweep,0.95,1.0
288,stigmergy,123,128,3.0,,2.5,3.0,stigmergy_decay_threshold_sweep,0.99,1.0
243,stigmergy,123,128,3.0,,1.5,3.0,stigmergy_decay_threshold_sweep,0.9,1.0
244,stigmergy,123,128,3.0,,1.5,3.0,stigmergy_decay_threshold_sweep,0.9,2.0
286,stigmergy,123,128,3.0,,2.5,9.0,stigmergy_decay_threshold_sweep,0.95,2.0
272,stigmergy,123,128,3.0,,2.5,3.0,stigmergy_decay_threshold_sweep,0.9,3.0
275,stigmergy,123,128,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.9,3.0
281,stigmergy,123,128,3.0,,2.5,3.0,stigmergy_decay_threshold_sweep,0.95,3.0
257,stigmergy,123,128,3.0,,1.5,6.0,stigmergy_decay_threshold_sweep,0.95,3.0
268,stigmergy,123,128,3.0,,1.5,9.0,stigmergy_decay_threshold_sweep,0.99,2.0
250,stigmergy,123,128,3.0,,1.5,9.0,stigmergy_decay_threshold_sweep,0.9,2.0
292,stigmergy,123,128,3.0,,2.5,6.0,stigmergy_decay_threshold_sweep,0.99,2.0
