run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
111,direct,456,128,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
73,direct,456,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.9375,0.9308919466106779
73,direct,456,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.9375,0.9308919466106779
118,direct,456,128,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.8125,0.7406081283743251
118,direct,456,128,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.8125,0.7406081283743251
87,direct,456,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
87,direct,456,64,5.5,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.0
127,direct,456,128,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.984375,0.9592144071185763
127,direct,456,128,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.984375,0.9592144071185763
80,direct,456,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.859375,0.8606653669266147
80,direct,456,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.859375,0.8606653669266147
74,direct,456,64,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.96875,0.9404806538692262
74,direct,456,64,3.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.96875,0.9404806538692262
120,direct,456,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
120,direct,456,128,5.5,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
6,direct,123,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
6,direct,123,64,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,0.0
28,direct,123,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.015625,0.0004217906418716257
28,direct,123,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.015625,0.0004217906418716257
143,direct,456,128,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
143,direct,456,128,10.0,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,0.0
17,direct,123,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.0,0.0
17,direct,123,64,5.5,3000.0,2.5,2.5,direct_clustering_sweep,,,0.0,0.0
188,direct,789,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.953125,0.9252368276344731
188,direct,789,128,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.953125,0.9252368276344731
144,direct,789,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.0011997600479904018
144,direct,789,64,3.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.015625,0.0011997600479904018
1,direct,123,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.015625,0.00017808938212357528
1,direct,123,64,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.015625,0.00017808938212357528
10,direct,123,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.015625,0.0011310237952409517
10,direct,123,64,3.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.015625,0.0011310237952409517
172,direct,789,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.75,0.7787692461507698
172,direct,789,64,10.0,3000.0,2.5,1.0,direct_clustering_sweep,,,0.75,0.7787692461507698
186,direct,789,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
186,direct,789,128,3.0,3000.0,2.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
19,direct,123,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.640625,0.6609334383123375
